hospital_id,hospital_type,hospital_size,num_beds
H001,Private,Small,53
H002,Government,Small,28
H003,Trust,Small,82
H004,Private,Medium,203
H005,Private,Large,427
H006,Private,Large,568
H007,Private,Small,69
H008,Government,Large,322
H009,Trust,Medium,244
H010,Government,Large,665
H011,Government,Small,43
H012,Trust,Small,77
H013,Trust,Medium,147
H014,Private,Large,444
H015,Trust,Small,31
H016,Private,Small,54
H017,Trust,Large,741
H018,Government,Large,490
H019,Private,Small,84
H020,Private,Large,478
H021,Government,Medium,197
H022,Private,Medium,111
H023,Private,Medium,159
H024,Private,Medium,151
H025,Government,Medium,254
H026,Private,Medium,239
H027,Government,Medium,240
H028,Private,Large,306
H029,Trust,Large,645
H030,Private,Medium,224
H031,Government,Small,37
H032,Government,Medium,262
H033,Private,Large,458
H034,Trust,Medium,256
H035,Trust,Medium,130
H036,Private,Small,36
H037,Government,Medium,175
H038,Government,Medium,160
H039,Government,Large,449
H040,Government,Medium,260
H041,Government,Small,76
H042,Government,Medium,289
H043,Private,Large,792
H044,Government,Medium,158
H045,Private,Medium,139
H046,Trust,Medium,276
H047,Private,Large,342
H048,Private,Small,78
H049,Private,Medium,191
H050,Government,Large,791
