District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Date,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,relative_humidity_2m_max,relative_humidity_2m_min
Jaunpur,Shahganj,Rice,3160,3300,3210,2/4/2024,36.6,21.4,0,0,40,11
Jaunpur,Shahganj,Rice,2900,3000,2950,3/4/2024,37.5,22.9,0,0,39,14
Jaunpur,Shahganj,Rice,3000,3100,3020,4/4/2024,39.2,23.9,0,0,38,16
Jaunpur,Shahganj,Rice,2600,2750,2650,5/4/2024,39.4,23.2,0,0,44,13
Jaunpur,Shahganj,Rice,2650,2750,2700,6/4/2024,38.2,24.2,0,0,43,15
Jaunpur,Shahganj,Rice,3360,3400,3380,7/4/2024,38,22.4,0,0,36,13
Jaunpur,Shahganj,Rice,3200,3300,3240,8/4/2024,38,19.7,0,0,52,10
Jaunpur,Shahganj,Rice,3150,3300,3210,9/4/2024,38.5,21.8,0,0,57,10
Jaunpur,Shahganj,Rice,3100,3160,3130,10/4/2024,38.8,24.4,0,0,43,10
Jaunpur,Shahganj,Rice,3150,3250,3200,11/4/2024,38.3,22,0,0,46,13
Jaunpur,Shahganj,Rice,3150,3300,3210,12/4/2024,37.6,24.2,0,0,46,18
Jaunpur,Shahganj,Rice,2750,2900,2810,13-04-2024,37.7,23,0,0,50,21
Jaunpur,Shahganj,Rice,3060,3200,3110,14-04-2024,37.5,24.7,0,0,56,24
Jaunpur,Shahganj,Rice,3150,3280,3200,15-04-2024,40,25.7,0,0,53,21
Jaunpur,Shahganj,Rice,3150,3250,3200,16-04-2024,40,25.8,0,0,54,18
Jaunpur,Shahganj,Rice,2950,3060,3010,17-04-2024,38.8,26.2,0,0,36,8
Jaunpur,Shahganj,Rice,3150,3250,3200,18-04-2024,40.1,25.2,0,0,26,15
Jaunpur,Shahganj,Rice,3150,3250,3200,19-04-2024,41.8,27,0,0,33,11
Jaunpur,Shahganj,Rice,3000,3100,3050,20-04-2024,42.2,28.2,0,0,28,11
Jaunpur,Shahganj,Rice,3355,3405,3380,21-04-2024,40.5,25.3,0,0,26,10
Jaunpur,Shahganj,Rice,3150,3250,3200,22-04-2024,40.1,28,0,0,32,15
Jaunpur,Shahganj,Rice,3340,3450,3380,23-04-2024,40,27.6,0,0,43,16
Jaunpur,Shahganj,Rice,3150,3250,3200,24-04-2024,40.7,24.2,0,0,36,11
Jaunpur,Shahganj,Rice,3150,3250,3200,25-04-2024,41.5,25,0,0,26,9
Jaunpur,Shahganj,Rice,3150,3250,3200,26-04-2024,42.4,24.8,0,0,28,10
Jaunpur,Shahganj,Rice,3300,3340,3320,27-04-2024,40.8,30.2,0,0,34,16
Jaunpur,Shahganj,Rice,2900,3000,2950,28-04-2024,42,27.1,0,0,35,10
Jaunpur,Shahganj,Rice,3300,3460,3400,29-04-2024,42.7,25,0,0,29,11
Jaunpur,Shahganj,Rice,2940,3000,2970,30-04-2024,42.5,26.1,0,0,30,11
Jaunpur,Shahganj,Rice,3350,3390,3370,1/5/2024,40.2,26.1,0,0,22,10
Jaunpur,Shahganj,Rice,3150,3260,3210,2/5/2024,38.1,23.9,0,0,26,8
Jaunpur,Shahganj,Rice,3200,3300,3230,3/5/2024,39.8,22.1,0,0,33,9
Jaunpur,Shahganj,Rice,3100,3200,3140,4/5/2024,41.6,24.6,0,0,28,8
Jaunpur,Shahganj,Rice,2900,3000,2940,5/5/2024,43.4,26.1,0,0,27,8
Jaunpur,Shahganj,Rice,3150,3300,3220,6/5/2024,41.3,27.7,0,0,62,18
Jaunpur,Shahganj,Rice,3170,3230,3200,7/5/2024,38.6,26.7,0.6,0.6,73,31
Jaunpur,Shahganj,Rice,3100,3200,3150,8/5/2024,37.4,25,0.6,0.6,73,30
Jaunpur,Shahganj,Rice,2950,3050,3000,9/5/2024,35.3,25.3,2.3,2.3,72,38
Jaunpur,Shahganj,Rice,3345,3395,3370,10/5/2024,36.8,25.9,0,0,77,32
Jaunpur,Shahganj,Rice,2860,3000,2920,11/5/2024,38.4,27.1,0.2,0.2,66,33
Jaunpur,Shahganj,Rice,3250,3400,3310,12/5/2024,36.7,27.6,0,0,68,36
Jaunpur,Shahganj,Rice,3200,3300,3220,13-05-2024,34.7,27.3,1,1,76,42
Jaunpur,Shahganj,Rice,2950,3100,3020,14-05-2024,39.6,26.5,0,0,72,20
Jaunpur,Shahganj,Rice,3200,3250,3210,15-05-2024,40.7,24.4,0,0,58,16
Jaunpur,Shahganj,Rice,3280,3400,3320,16-05-2024,41,26,0,0,54,17
Jaunpur,Shahganj,Rice,2900,3000,2960,17-05-2024,40.1,26.8,0,0,48,25
Jaunpur,Shahganj,Rice,3150,3300,3210,18-05-2024,43.1,30.1,0,0,51,17
Jaunpur,Shahganj,Rice,2950,3050,3000,19-05-2024,44.4,28.3,0,0,57,12
Jaunpur,Shahganj,Rice,2900,3020,2980,20-05-2024,40.2,28.1,0.5,0.5,69,29
Jaunpur,Shahganj,Rice,3150,3250,3200,21-05-2024,39.4,27.7,0,0,74,35
Jaunpur,Shahganj,Rice,3100,3140,3120,22-05-2024,38.5,28.4,0.4,0.4,69,35
Jaunpur,Shahganj,Rice,3250,3360,3310,23-05-2024,35.9,27.2,1.6,1.6,75,45
Jaunpur,Shahganj,Rice,3200,3300,3270,24-05-2024,39.2,28.5,0,0,72,36
Jaunpur,Shahganj,Rice,3070,3130,3100,25-05-2024,41.3,30.5,0,0,64,27
Jaunpur,Shahganj,Rice,3250,3350,3300,26-05-2024,41.2,30.8,1.2,1.2,54,29
Jaunpur,Shahganj,Rice,3050,3150,3100,27-05-2024,41.7,31.4,0,0,61,32
Jaunpur,Shahganj,Rice,3100,3200,3130,28-05-2024,46.2,29.8,0,0,65,11
Jaunpur,Shahganj,Rice,3150,3300,3210,29-05-2024,46.2,30.6,0,0,68,12
Jaunpur,Shahganj,Rice,3100,3200,3140,30-05-2024,46.5,32.4,0,0,70,13
Jaunpur,Shahganj,Rice,3290,3330,3310,31-05-2024,45.2,32.3,0,0,75,12
Jaunpur,Shahganj,Rice,3150,3240,3200,1/6/2024,44.1,29.7,0,0,77,14
Jaunpur,Shahganj,Rice,3070,3130,3100,2/6/2024,40.6,29,0,0,84,28
Jaunpur,Shahganj,Rice,3125,3175,3150,3/6/2024,43.7,29.5,0,0,64,13
Jaunpur,Shahganj,Rice,3200,3300,3240,4/6/2024,44.7,29.7,0,0,62,14
Jaunpur,Shahganj,Rice,3355,3405,3380,5/6/2024,40.5,28.9,0,0,71,32
Jaunpur,Shahganj,Rice,3300,3400,3340,6/6/2024,42.4,28,0,0,79,21
Jaunpur,Shahganj,Rice,3325,3375,3350,7/6/2024,42.9,28.4,0,0,63,18
Jaunpur,Shahganj,Rice,2800,2900,2840,8/6/2024,43.8,27.8,0,0,60,18
Jaunpur,Shahganj,Rice,3200,3300,3240,9/6/2024,44.3,29,0,0,56,15
